Reference;DistributionStatus;wdDistributionStatusCountryCode;CountryOrigin;wdCountryOriginCountryCode;NotificationFrom;wdNotificationFromCountryCode;DateOfCase;LastUpdate;Classifications;ActionTaken;Product;ProductCategory;RiskDecision;HazardSubstance;HazardAnalyticalResult;HazardUnits;HazardSamplingDate;Subject.description,,,,,,,,
20.060.111;Iceland;Q189;United Kingdom;Q145;United Kingdom;Q145;13/02/2006;;food  -  alert  -  official control on the market;seizure;chilli beef and cheese burrito;meat and meat products (other than poultry);undecided;suspicion of illegal trade;;;;suspicion of illegal trade of chilli beef and cheese burrito from the United Kingdom,,,,,,,,
20.130.481;Ireland;Q27;Poland;Q36;Ireland;Q27;04/04/2013;30/04/2013;food  -  information for follow-up  -  official control on the market;detained by operator;frozen beef trimmings;meat and meat products (other than poultry);not serious;adulteration;presence of horse DNA: 60 - 100;%;29/01/2013;adulteration (presence of horse DNA: 60 - 100 %) of frozen beef trimmings from Poland,,,,,,,,
2017.BOK;Ireland;Q27;India;Q668;Ireland;Q27;28/08/2017;07/09/2017;food  -  border rejection  -  border control - consignment detained;official detention;sauce containing 28% of chilli;soups, broths, sauces and condiments;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for sauce containing 28% of chilli from India,,,,,,
2017.BOJ;Ireland;Q27;India;Q668;Ireland;Q27;28/08/2017;30/08/2017;food  -  border rejection  -  border control - consignment detained;official detention;sauce containing more than 20% of chilli;soups, broths, sauces and condiments;not serious;absence of health certificate(s);;;;absence of health certificate(s) and of certified analytical report for sauce containing more than 20% of chilli from India,,,,,,
2.004.275;Ireland;Q27;United Kingdom;Q145;United Kingdom;Q145;15/06/2004;;Food  -  alert  -  official control on the market;(obsolete);biscuits;cereals and bakery products;undecided;tampering;;;;tampering with biscuits,,,,,,,,
20.130.163;Ireland;Q27;Poland;Q36;Ireland;Q27;08/02/2013;21/04/2013;food  -  information for follow-up  -  official control on the market;detained by operator;frozen beef products;meat and meat products (other than poultry);not serious;adulteration;containing unlabelled horse meat DNA: 38;%;;adulteration (containing unlabelled horse meat DNA: 38 %) of frozen beef products from Poland,,,,,,,,
2007.BAP;Italy;Q38;Tunisia;Q948;Italy;Q38;24/04/2007;12/01/2018;food  -  information  -  border control - consignment detained;destruction;live clams (Tapes decussatus);bivalve molluscs and products thereof;undecided;improper health certificate(s);;;23/04/2007;improper health certificate(s) for live clams (Tapes decussatus) from Tunisia,,,,,,,,
20.070.342;Italy;Q38;Spain;Q29;Germany;Q183;22/05/2007;;food  -  alert  -  official control on the market;seizure;frozen chicken meat trimmings;poultry meat and poultry meat products;undecided;origin unclear;;;;origin unclear of frozen chicken meat trimmings from Spain via Italy,,,,,,,,
2006.BNR;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;canned corned beef;meat and meat products (other than poultry);undecided;illegal import;;;;illegal import of canned corned beef from the Philippines,,,,,,,,
2008.BNP;Italy;Q38;Tunisia;Q948;Italy;Q38;30/09/2008;12/09/2012;food  -  border rejection  -  border control - consignment detained;re-dispatch;chilli pepper in brine;fruits and vegetables;undecided;absence of certified analytical report;;;;absence of certified analytical report for chilli pepper in brine from Tunisia,,,,,,,,
2003.BWF;Italy;Q38;Brazil;Q155;Italy;Q38;02/10/2003;31/05/2017;Food  -  information  -  border control - consignment detained;destruction;Brazil nuts;nuts, nut products and seeds;undecided;absence of health certificate(s);;;;absence of health certificate(s) for Brazil nuts from Brazil,,,,,,,
2014.BTB;Italy;Q38;Egypt;Q79;Italy;Q38;11/11/2014;12/01/2018;food  -  border rejection  -  border control - consignment under customs;re-dispatch;peanuts in shell;nuts, nut products and seeds;not serious;improper health certificate(s);;;;improper health certificate(s) for peanuts in shell from Egypt,,,,,,,
2006.BNZ;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;meat loaf;meat and meat products (other than poultry);undecided;illegal import;;;;illegal import of meat loaf from the Philippines,,,,,,,,
2010.ADC;Italy;Q38;Bangladesh;Q902;Italy;Q38;22/01/2010;09/03/2010;food  -  border rejection  -  border control - consignment detained;destruction;frozen white fish;fish and fish products;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen white fish from Bangladesh,,,,,,,,
2006.BNO;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;corned beef with onions;prepared dishes and snacks;undecided;illegal import;;;;illegal import of corned beef with onions from the Philippines,,,,,,,,
2010.ADB;Italy;Q38;Bangladesh;Q902;Italy;Q38;22/01/2010;26/01/2010;food  -  border rejection  -  border control - consignment detained;;frozen white fishes;fish and fish products;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen white fishes from Bangladesh,,,,,,,,
20.191.963;Italy;Q38;Argentina;Q414;Italy;Q38;29/05/2019;28/06/2019;food  -  border rejection  -  border control - consignment detained;re-dispatch;chilled horse meat;meat and meat products (other than poultry);not serious;improper health certificate(s);no match with label for slaughter date;;;improper health certificate(s) (no match with label for slaughter date) for chilled horse meat from Argentina,,,,,,,,
2006.BHK;Italy;Q38;Philippines;Q928;Italy;Q38;07/06/2006;;food  -  information  -  official control on the market;(obsolete);ham spread;meat and meat products (other than poultry);undecided;illegal import;;;;illegal import of ham spread from the Philippines,,,,,,,,
20.091.008;Italy;Q38;Philippines;Q928;Italy;Q38;31/07/2009;25/08/2009;food  -  information  -  official control on the market;withdrawal from the market;various meat products;meat and meat products (other than poultry);undecided;illegal import;;;28/07/2009;illegal import of various meat products from the Philippines,,,,,,,,
2.006.056;Italy;Q38;Germany;Q183;Germany;Q183;04/09/2006;;food  -  alert  -  official control on the market;(obsolete);various meat and bakery products;other food product / mixed;undecided;fraud - expiry dates changed;;;;fraud - expiry dates changed of various meat and bakery products from Germany,,,,,,,,
2007.AYR;Italy;Q38;Tunisia;Q948;Italy;Q38;17/04/2007;12/01/2018;food  -  information  -  border control - consignment detained;re-dispatch;live snails;gastropods;undecided;improper health certificate(s);;;;improper health certificate(s) for live snails from Tunisia,,,,,,,,
20.130.421;Italy;Q38;France;Q142;Italy;Q38;25/03/2013;24/05/2013;food  -  information for follow-up  -  official control on the market;informing authorities;frozen beef balls;meat and meat products (other than poultry);not serious;adulteration;horse DNA >1;%;08/03/2013;adulteration (horse DNA >1 %) of frozen beef balls from France,,,,,,,,
2006.BDL;Italy;Q38;Brazil;Q155;Italy;Q38;11/05/2006;;food  -  information  -  border control - consignment detained;re-dispatch;frozen pig meat;meat and meat products (other than poultry);undecided;unauthorised transit;;;;unauthorised transit of frozen pig meat from Brazil,,,,,,,,
2010.BBN;Italy;Q38;Ecuador;Q736;Italy;Q38;18/06/2010;19/08/2010;food  -  border rejection  -  border control - consignment detained;official detention;sardines in tomato sauce;fish and fish products;undecided;attempt to illegally import;;;;attempt to illegally import sardines in tomato sauce from Ecuador,,,,,,,,
2006.BOB;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;instant meals;prepared dishes and snacks;undecided;illegal import;;;;illegal import of instant meals from the Philippines,,,,,,,,
20.081.703;Italy;Q38;Philippines;Q928;Italy;Q38;30/12/2008;16/01/2009;food  -  information  -  official control on the market;seizure;canned pork and beans;prepared dishes and snacks;undecided;illegal import;;;;illegal import of canned pork and beans from the Philippines,,,,,,,,
20.091.579;Italy;Q38;South Korea;Q884;Italy;Q38;16/11/2009;17/12/2009;food  -  information  -  border control - consignment released;recall from consumers;frozen mussel meat (Mytilus edulis);bivalve molluscs and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen mussel meat (Mytilus edulis) from the Republic of Korea,,,,,,,,
2009.AXJ;Italy;Q38;Croatia;Q224;Italy;Q38;07/05/2009;07/05/2009;food  -  border rejection  -  border control - consignment detained;destruction;hard shell clams (Venus Verrucosa);bivalve molluscs and products thereof;undecided;suspicion of illegal import;;;;suspicion of illegal import of hard shell clams (Venus Verrucosa) from Croatia,,,,,,,,
2011.CKJ;Italy;Q38;Philippines;Q928;Italy;Q38;18/11/2011;18/11/2011;food  -  border rejection  -  border control - consignment detained;re-dispatch;ice cream;confectionery;undecided;attempt to illegally import;;;;attempt to illegally import ice cream from the Philippines,,,,,,,,
2006.BOC;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;bacon and ham spread;prepared dishes and snacks;undecided;illegal import;;;;illegal import of bacon and ham spread from the Philippines,,,,,,,,
2006.BNX;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;liver spread;prepared dishes and snacks;undecided;illegal import;;;;illegal import of liver spread from the Philippines,,,,,,,,
2010.AZB;Italy;Q38;Pakistan;Q843;Italy;Q38;01/06/2010;02/06/2010;food  -  border rejection  -  border control - consignment detained;re-dispatch;bovine casings (Bubalus Bubalis);meat and meat products (other than poultry);undecided;illegal import;bovine casings declared as sheep casings;;;illegal import (bovine casings declared as sheep casings) of bovine casings (Bubalus Bubalis) from Pakistan,,,,,,,,
20.110.608;Italy;Q38;Spain;Q29;Italy;Q38;10/05/2011;10/08/2011;food  -  information for follow-up  -  official control on the market;withdrawal from the market;honey;honey and royal jelly;undecided;fraud;wrong origin labelling;;;adulteration (vegetable sugars added) of and fraud (wrong origin labelling) with honey from Spain, with raw material from China,,,,,,,
2007.BOZ;Italy;Q38;Croatia;Q224;Italy;Q38;27/06/2007;17/12/2007;food  -  information  -  border control - consignment detained;destruction;live clams (Venus verrucosa);;;;;;;,,,,,,,,
20.120.358;Italy;Q38;Hungary;Q28;Italy;Q38;07/03/2012;04/04/2012;food  -  information for follow-up  -  official control on the market;;horse meat;meat and meat products (other than poultry);undecided;suspicion of fraud;;;;suspicion of fraud in relation to horse meat from Hungary,,,,,,,,
2010.BOY;Italy;Q38;Ukraine;Q212;Italy;Q38;16/09/2010;16/09/2010;food  -  border rejection  -  border control - consignment detained;re-dispatch;eggs;eggs and egg products;undecided;unauthorised transit;;;;unauthorised transit of eggs from Ukraine,,,,,,,,
2001.BI;Italy;Q38;Morocco;Q1028;Italy;Q38;30/01/2001;31/05/2017;Food  -  information  -;import not authorised;Pink cusk eel;fish and fish products;undecided;absence of health certificate(s);;;;absence of health certificate(s) for Pink cusk eel from Morocco,,,,,,,,
2014.BBQ;Italy;Q38;Morocco;Q1028;Italy;Q38;27/06/2014;01/08/2014;food contact material  -  border rejection  -  border control - consignment under customs;re-dispatch;plastic barrels intended for food contact;food contact materials;undecided;absence of declaration of compliance;;;;absence of declaration of compliance for plastic barrels intended for food contact from Morocco,,,,,,,,
2003.CKB;Italy;Q38;Philippines;Q928;Italy;Q38;20/11/2003;;Food  -  information  -  border control - consignment detained;re-dispatch;frozen shrimps;wild caught crustaceans and products thereof - (obsolete);undecided;fraud;;;;fraud with frozen shrimps,,,,,,,,
2006.BNQ;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;various meat products;prepared dishes and snacks;undecided;illegal import;;;;illegal import of various meat products from the Philippines,,,,,,,,
2006.BOA;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;canned corned beef;meat and meat products (other than poultry);undecided;illegal import;;;;illegal import of canned corned beef from the Philippines,,,,,,,,
2003.BWG;Italy;Q38;Brazil;Q155;Italy;Q38;02/10/2003;31/05/2017;Food  -  information  -  border control - consignment detained;destruction;Brazil nuts;nuts, nut products and seeds;undecided;absence of health certificate(s);;;;absence of health certificate(s) for Brazil nuts from Brazil,,,,,,,
2007.AMU;Italy;Q38;Guinea;Q1006;Italy;Q38;27/02/2007;;food  -  information  -  border control - consignment detained;re-dispatch;shellfish;crustaceans and products thereof;undecided;attempt to illegally import;Decision 2007/82/EC;;;illegal import (Decision 2007/82/EC) of shellfish from Guinea,,,,,,,,
2010.BOZ;Italy;Q38;Ukraine;Q212;Italy;Q38;16/09/2010;16/09/2010;food  -  border rejection  -  border control - consignment detained;re-dispatch;eggs;eggs and egg products;undecided;unauthorised transit;;;;unauthorised transit of eggs from Ukraine,,,,,,,,
2017.AVP;Italy;Q38;India;Q668;Italy;Q38;12/05/2017;09/10/2017;food  -  border rejection  -  border control - consignment under customs;re-dispatch;white sesame seeds;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for white sesame seeds from India,,,,,,,
2007.CDP;Italy;Q38;Argentina;Q414;Italy;Q38;13/09/2007;14/06/2017;food  -  information  -  border control - consignment detained;re-dispatch;salted beef casings;meat and meat products (other than poultry);undecided;unauthorised import;;;;unauthorised import of salted beef casings from Albania, with raw material from Argentina,,,,,,,
2011.ATE;Italy;Q38;Mozambique;Q1029;Italy;Q38;01/04/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;frozen Andaman lobster (Metanephrops andamanicus);crustaceans and products thereof;undecided;improper health certificate(s);;;;improper health certificate(s) for frozen Andaman lobster (Metanephrops andamanicus) from Mozambique,,,,,,,,
2012.BHQ;Italy;Q38;Turkey;Q43;Italy;Q38;22/06/2012;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;pistachio kernels;nuts, nut products and seeds;undecided;absence of health certificate(s);;;;absence of health certificate(s) for pistachio kernels from Turkey,,,,,,,
2012.BZW;Italy;Q38;Brazil;Q155;Italy;Q38;11/10/2012;06/08/2014;food  -  border rejection  -  border control - consignment detained;;carqueja (Baccharis genistelloides);herbs and spices;not serious;unauthorised import;;;02/07/2012;unauthorised import of carqueja (Baccharis genistelloides) from Brazil,,,,,,,,
2017.BDY;Italy;Q38;India;Q668;Italy;Q38;26/06/2017;10/10/2017;food  -  border rejection  -  border control - consignment detained;destruction;sesame seeds;nuts, nut products and seeds;not serious;absence of health certificate(s);;;;absence of health certificate(s) for sesame seeds from India,,,,,,,
2004.AVF;Italy;Q38;Turkey;Q43;Italy;Q38;14/04/2004;04/02/2019;Food  -  information  -  border control - consignment detained;re-dispatch;sultanas;fruits and vegetables;undecided;paraffin;presence;;29/03/2004;paraffin (presence) in sultanas from Turkey,,,,,,,,
2006.BNW;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;canned meat product;prepared dishes and snacks;undecided;illegal import;;;;illegal import of canned meat product from the Philippines,,,,,,,,
2006.BNT;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;sausages;prepared dishes and snacks;undecided;illegal import;;;;illegal import of sausages from the Philippines,,,,,,,,
2006.BHL;Italy;Q38;Philippines;Q928;Italy;Q38;07/06/2006;;food  -  information  -  official control on the market;(obsolete);chicken noodle soup;soups, broths, sauces and condiments;undecided;illegal import;;;;illegal import of chicken noodle soup from the Philippines,,,,,,
2.006.036;Italy;Q38;Philippines;Q928;Italy;Q38;07/06/2006;;food  -  alert  -  official control on the market;(obsolete);chicken spread;poultry meat and poultry meat products;undecided;illegal import;;;;illegal import of chicken spread from the Philippines,,,,,,,,
2010.BBG;Italy;Q38;Ecuador;Q736;Italy;Q38;16/06/2010;19/08/2010;food  -  border rejection  -  border control - consignment detained;;frozen shrimps (Penaeus vannamei);crustaceans and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen shrimps (Penaeus vannamei) from Ecuador,,,,,,,,
2008.CAD;Italy;Q38;Ghana;Q117;Italy;Q38;17/12/2008;31/05/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;palm oil;fats and oils;undecided;absence of health certificate(s);;;;absence of health certificate(s) for palm oil from Ghana,,,,,,,,
2010.BCS;Italy;Q38;Ecuador;Q736;Italy;Q38;25/06/2010;15/09/2010;food  -  border rejection  -  border control - consignment detained;seizure;aquaculture frozen shrimps (Penaeus vannamei);crustaceans and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for aquaculture frozen shrimps (Penaeus vannamei) from Ecuador,,,,,,,,
2010.BCR;Italy;Q38;Ecuador;Q736;Italy;Q38;25/06/2010;15/09/2010;food  -  border rejection  -  border control - consignment detained;seizure;frozen shrimps (Penaeus vannamei);crustaceans and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen shrimps (Penaeus vannamei) from Ecuador,,,,,,,,
2010.BCU;Italy;Q38;Ecuador;Q736;Italy;Q38;25/06/2010;15/09/2010;food  -  border rejection  -  border control - consignment detained;seizure;frozen whole shrimps;crustaceans and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen whole shrimps from Ecuador,,,,,,,,
20.170.463;Italy;Q38;Russia;Q159;Hungary;Q28;11/04/2017;29/05/2018;feed  -  information for follow-up  -  border control - consignment released;withdrawal from the market;brewer's yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 0.5;%;27/03/2017;suspicion of adulteration (unlabelled urea: 0.5 %) of brewer's yeast from Russia,,,,,,,,
2010.BKG;Italy;Q38;Brazil;Q155;Italy;Q38;23/08/2010;17/02/2012;food  -  border rejection  -  border control - consignment detained;re-dispatch;frozen pork;meat and meat products (other than poultry);undecided;unauthorised transit;;;17/08/2010;unauthorised transit of frozen pork from Brazil,,,,,,,,
20.170.055;Italy;Q38;Brazil;Q155;Italy;Q38;12/01/2017;12/01/2018;food  -  information for attention  -  border control - consignment released;;frozen mullet roe;fish and fish products;not serious;improper health certificate(s);substitution of species: Mugil platanus / Mugil liza;;07/12/2016;improper health certificate(s) (substitution of species: Mugil platanus / Mugil liza) for frozen mullet roe from Brazil,,,,,,,,
2003.AII;Italy;Q38;Cuba;Q241;Italy;Q38;11/02/2003;;Food  -  information  -;import not authorised;Shrimps - frozen (Penaeus Schmitt Notialis);crustaceans and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for Shrimps - frozen (Penaeus Schmitt Notialis),,,,,,,,
2006.BNY;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;beef loaf;prepared dishes and snacks;undecided;illegal import;;;;illegal import of beef loaf from the Philippines,,,,,,,,
2007.CTM;Italy;Q38;Tunisia;Q948;Italy;Q38;30/11/2007;03/12/2007;food  -  information  -  border control - consignment detained;re-dispatch;frozen cuttlefish (Sepia officinalis);cephalopods and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen cuttlefish (Sepia officinalis) from Tunisia,,,,,,,,
2003.CDE;Italy;Q38;Brazil;Q155;Italy;Q38;24/10/2003;31/05/2017;Food  -  information  -  border control - consignment detained;re-dispatch;Brazil nuts;nuts, nut products and seeds;undecided;absence of health certificate(s);;;;absence of health certificate(s) for Brazil nuts from Brazil,,,,,,,
2014.AUN;Italy;Q38;Thailand;Q869;Italy;Q38;22/05/2014;12/01/2018;feed  -  border rejection  -  border control - consignment detained;re-dispatch;pet food;feed materials;not serious;improper health certificate(s);;;19/05/2014;improper health certificate(s) for pet food from Thailand,,,,,,,,
2014.BTM;Italy;Q38;Egypt;Q79;Italy;Q38;12/11/2014;12/01/2018;food  -  border rejection  -  border control - consignment under customs;re-dispatch;peanuts in shell;nuts, nut products and seeds;not serious;improper health certificate(s);;;;improper health certificate(s) for peanuts in shell from Egypt,,,,,,,
2004.AHV;Italy;Q38;Malaysia;Q833;Italy;Q38;04/02/2004;31/05/2017;Food  -  information  -  border control - consignment detained;re-dispatch;frozen prawns;crustaceans and products thereof;undecided;absence of health certificate(s);;;;absence of health certificate(s) for frozen prawns from Malaysia,,,,,,,,
2011.BKC;Italy;Q38;Tunisia;Q948;Italy;Q38;04/07/2011;31/05/2017;food  -  border rejection  -  border control - consignment detained;destruction;chilled amberjack (Seriola dumerili);fish and fish products;undecided;absence of health certificate(s);;;;absence of health certificate(s) for chilled amberjack (Seriola dumerili) from Tunisia,,,,,,,,
2010.BMG;Italy;Q38;Brazil;Q155;Italy;Q38;30/08/2010;17/01/2011;food  -  border rejection  -  border control - consignment detained;re-dispatch;corned beef;meat and meat products (other than poultry);undecided;unauthorised transit;;;;unauthorised transit of corned beef from Brazil,,,,,,,,
2010.BOX;Italy;Q38;Ukraine;Q212;Italy;Q38;16/09/2010;16/09/2010;food  -  border rejection  -  border control - consignment detained;re-dispatch;eggs;eggs and egg products;undecided;unauthorised transit;;;;unauthorised transit of eggs from Ukraine,,,,,,,,
2.018.364;Italy;Q38;Mozambique;Q1029;Italy;Q38;14/12/2018;19/04/2019;food  -  border rejection  -  border control - consignment detained;import not authorised;live giant crabs;crustaceans and products thereof;not serious;improper health certificate(s);;;;improper health certificate(s) for live giant crabs from Mozambique,,,,,,,,
20.180.737;Italy;Q38;Turkey;Q43;Italy;Q38;19/03/2018;30/04/2018;food  -  border rejection  -  border control - consignment detained;destruction;frozen sea urchin;fish and fish products;not serious;improper health certificate(s);;;;improper health certificate(s) for frozen sea urchin from Turkey,,,,,,,,
20.193.053;Italy;Q38;Hungary;Q28;Germany;Q183;27/08/2019;11/09/2019;food  -  information for follow-up  -  official control on the market;recall from consumers;frozen duck heads;poultry meat and poultry meat products;undecided;illegal trade;intended for human consumption;;;illegal trade (intended for human consumption) of frozen duck heads from Hungary, via Italy,,,,,,,
2011.BAR;Italy;Q38;Tunisia;Q948;Italy;Q38;10/05/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;sardines (Sardina pilchardus);fish and fish products;undecided;improper health certificate(s);;;;improper health certificate(s) for sardines (Sardina pilchardus) from Tunisia,,,,,,,,
20.183.674;Italy;Q38;Turkey;Q43;Italy;Q38;17/12/2018;06/02/2019;food contact material  -  border rejection  -  border control - consignment detained;destruction;kitchen utensils;food contact materials;not serious;absence of declaration of compliance;;;;absence of certified analytical report and of declaration of compliance for kitchen utensils from Turkey,,,,,,,,
2001.MX;Italy;Q38;Senegal;Q1041;Italy;Q38;07/11/2001;;Food  -  information  -;destruction;Fishery products;fish and fish products;undecided;pufferfish (Tetraodontidae);Presence;;;Tetraodontidae (Presence) in Fishery products,,,,,,,,
2006.BNS;Italy;Q38;Philippines;Q928;Italy;Q38;06/07/2006;;food  -  information  -  official control on the market;seizure;prepared dishes;prepared dishes and snacks;undecided;illegal import;;;;illegal import of prepared dishes from the Philippines,,,,,,,,
2006.BHJ;Italy;Q38;Philippines;Q928;Italy;Q38;07/06/2006;;food  -  information  -  official control on the market;(obsolete);bacon spread;meat and meat products (other than poultry);undecided;illegal import;;;;illegal import of bacon spread from the Philippines,,,,,,,,
20.081.704;Italy;Q38;Philippines;Q928;Italy;Q38;30/12/2008;16/01/2009;food  -  information  -  official control on the market;seizure;canned pork and beef livers' pate;prepared dishes and snacks;undecided;illegal import;;;;illegal import of canned pork and beef livers' pate from the Philippines,,,,,,,,
2017.AOW;Italy;Q38;Brazil;Q155;Italy;Q38;05/04/2017;06/09/2017;food  -  border rejection  -  border control - consignment detained;re-dispatch;frozen half turkey breasts;poultry meat and poultry meat products;not serious;suspicion of fraud;;;;suspicion of fraud for frozen half turkey breasts from Brazil,,,,,,,,
20.191.206;Italy;Q38;Indonesia;Q252;Italy;Q38;29/03/2019;24/04/2019;food  -  border rejection  -  border control - consignment detained;destruction;frozen boiled cut octopus;cephalopods and products thereof;not serious;improper health certificate(s);no match with label for net quantity and species;;;E 316 - sodium erythorbate unauthorised in and improper health certificate(s) (no match with label for net quantity and species) for frozen boiled cut octopus from Indonesia,,,,,,,,
2003.ACA;Italy;Q38;Senegal;Q1041;Italy;Q38;14/01/2003;;Food  -  information  -  border control - consignment detained;import not authorised;Fishery products;fish and fish products;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for Fishery products,,,,,,,,
20.130.324;Italy;Q38;Poland;Q36;Italy;Q38;08/03/2013;03/06/2013;food  -  information for follow-up  -  official control on the market;withdrawal from the market;cooked minced beef;meat and meat products (other than poultry);not serious;adulteration;presence of horse DNA >1;%;01/01/1970;adulteration (presence of horse DNA >1 %) of cooked minced beef from Germany, with raw material from Poland, via the Netherlands,,,,,,
20.130.543;Italy;Q38;Hungary;Q28;Italy;Q38;16/04/2013;09/05/2013;food  -  information for follow-up  -  official control on the market;;milk drink;milk and milk products;not serious;illegal import;;;;illegal import of milk drink from China, via Hungary,,,,,,,
2010.BEB;Italy;Q38;Pakistan;Q843;Italy;Q38;05/07/2010;05/07/2010;food  -  border rejection  -  border control - consignment detained;(obsolete);white vinegar;soups, broths, sauces and condiments;undecided;adulteration;synthetic acetic acid;;26/05/2010;adulteration (synthetic acetic acid) of white vinegar from Pakistan,,,,,,
20.191.179;Italy;Q38;Indonesia;Q252;Italy;Q38;28/03/2019;28/03/2019;food  -  border rejection  -  border control - consignment detained;re-dispatch;nutmeg;herbs and spices;not serious;absence of health certificate(s);;;;absence of health certificate(s) for nutmeg from Indonesia,,,,,,,,
20.120.241;Italy;Q38;Hungary;Q28;Italy;Q38;15/02/2012;29/03/2012;food  -  information for attention  -  official control on the market;re-dispatch;horse carcasses;meat and meat products (other than poultry);undecided;suspicion of fraud;;;;suspicion of fraud in relation to horse carcasses from Hungary,,,,,,,,
2010.BCV;Italy;Q38;Ecuador;Q736;Italy;Q38;25/06/2010;17/08/2010;food  -  border rejection  -  border control - consignment detained;seizure;frozen shrimps (Penaeus vannamei and Penaeus brevirostris);crustaceans and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen shrimps (Penaeus vannamei and Penaeus brevirostris) from Ecuador,,,,,,,,
2003.BHI;Italy;Q38;Canada;Q16;Italy;Q38;26/06/2003;;Feed  -  information  -  border control - consignment detained;re-dispatch;egg powder for animal nutrition;eggs and egg products;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for egg powder for animal nutrition,,,,,,,,
2014.BTN;Italy;Q38;Egypt;Q79;Italy;Q38;12/11/2014;12/01/2018;food  -  border rejection  -  border control - consignment detained;re-dispatch;peanuts in shell;nuts, nut products and seeds;not serious;improper health certificate(s);;;;improper health certificate(s) for peanuts in shell from Egypt,,,,,,,
2.009.158;Italy;Q38;South Korea;Q884;Italy;Q38;16/11/2009;14/05/2013;food  -  information  -  border control - consignment released;recall from consumers;frozen baby clams meat (Venerupis variegata);bivalve molluscs and products thereof;undecided;fraudulent health certificate(s);;;;fraudulent health certificate(s) for frozen baby clams meat (Venerupis variegata) from the Republic of Korea,,,,,,,,
2007.BIJ;Italy;Q38;Singapore;Q334;Italy;Q38;04/06/2007;31/05/2017;food  -  information  -  border control - consignment detained;re-dispatch;peanuts;nuts, nut products and seeds;undecided;absence of health certificate(s);;;21/05/2007;absence of health certificate(s) and of certified analytical report for peanuts from China, via Singapore,,,,,,
2002.BNP;Italy;Q38;Senegal;Q1041;Italy;Q38;09/12/2002;;Food  -  information  -;import not authorised;Fish dried;fish and fish products;undecided;fraudulent health certificate(s);Detection of gastropods concealed in dried fish;;;fraudulent health certificate(s) (Detection of gastropods concealed in dried fish) for Fish dried,,,,,,,,
20.182.405;Italy;Q38;Tunisia;Q948;Italy;Q38;23/08/2018;13/09/2018;food  -  border rejection  -  border control - consignment detained;destruction;chilled spiny lobsters (Palinurus elephas)  and  slipper lobsters (Scyllarus arctus);crustaceans and products thereof;not serious;improper health certificate(s);no match with the label for producer and species;;;improper health certificate(s) (no match with the label for producer and species) for chilled spiny lobsters (Palinurus elephas)  and  slipper lobsters (Scyllarus arctus) from Tunisia,,,,,,,,
2017.ANN;Latvia;Q211;Russia;Q159;Latvia;Q211;28/03/2017;29/03/2017;feed  -  border rejection  -  border control - consignment detained;official detention;fodder yeast;feed materials;not serious;suspicion of adulteration;unlabelled urea: 1.1;%;04/03/2017;suspicion of adulteration (unlabelled urea: 1.1 %) of fodder yeast from Russia,,,,,,,,
